,train_loss,val_loss,val_accuracy
0,2.040413421236164,2.8473984509525856,8.8
1,1.407772434399364,1.6556226261065268,69.1
2,1.0170828524143856,1.1536716290566353,80.37
3,0.7898905096925953,0.8441002849264212,84.88
4,0.6616723978729616,0.6734529652272461,86.65
5,0.5835030391236683,0.5747135106045543,87.75
6,0.5320570302306714,0.5132389590787708,88.29
7,0.49575993277666114,0.47131279456314623,88.74
8,0.4688477582522178,0.4413190261400613,89.26
9,0.44801013338085954,0.419270044568312,89.48
10,0.4312212909214719,0.40143340284680007,89.84
11,0.41734154811498714,0.3875335697041767,90.0
12,0.40570144680596976,0.37560054031909423,90.13
13,0.39571990572401744,0.36604410371634094,90.29
14,0.38703670288373243,0.35761114338749783,90.42
15,0.3792418030161861,0.35033655496501676,90.58
16,0.37240418792151003,0.34400209176991714,90.76
17,0.36619508135145945,0.33797567353537233,90.82
18,0.360515108466416,0.3328324563171268,90.91
19,0.35527677003162433,0.32799183380987307,91.06
20,0.3504531569899908,0.3237558663486411,91.11
21,0.34609643088009595,0.3200098268406851,91.08
22,0.3418434775556229,0.3162339057327725,91.2
23,0.3380530969737127,0.3125297316115075,91.36
24,0.3343576600960809,0.3092219130087175,91.4
25,0.33080242703784635,0.30624032518485644,91.4
26,0.32763324826091056,0.30358202752774865,91.45
27,0.32450486053838,0.300735549212503,91.55
28,0.32151436573527425,0.29822073610967725,91.65
29,0.3186965038166388,0.2957614441808241,91.73
30,0.31597600693096617,0.29338278090553876,91.79
31,0.31331814177073836,0.2911351694913981,91.91
32,0.31071891788697115,0.2888220964356208,91.96
33,0.30839281063723406,0.2867252917457594,92.01
34,0.3059807233934221,0.2845236653290369,92.09
35,0.30374197965410704,0.2827825584991901,92.16
36,0.3015196034711153,0.28076478931023263,92.25
37,0.299419512558703,0.27906165991727705,92.29
38,0.297332683696434,0.2770807723002742,92.34
39,0.2953227125954817,0.2756590605655567,92.32
