,train_loss,val_loss,val_accuracy
0,2.022664022513531,2.5438150426154285,11.88
1,1.5282291447637062,1.7242043092336556,61.82
2,1.166692930400018,1.294386701604976,73.68
3,0.9242588288402053,0.9836813725599797,79.1
4,0.7729930843340306,0.7901383342738957,82.54
5,0.675263773547558,0.6695881247224045,84.16
6,0.6076683962669609,0.5905304126893979,85.56
7,0.5580130299697729,0.5339116736201913,86.45
8,0.5204117395940976,0.4927754681692986,87.5
9,0.491149645373018,0.46164302090662424,88.02
10,0.46771112068780196,0.43743193731952706,88.4
11,0.4487868212681102,0.4178168875735235,88.72
12,0.4330707775709382,0.40203460034139404,89.11
13,0.4198916114851546,0.3890257724525903,89.41
14,0.408705507165672,0.378117888300692,89.55
15,0.39904845906847497,0.36877952553138676,89.71
16,0.39059570603631927,0.36066195534869966,89.93
17,0.3831892746993792,0.3539111378676504,90.15
18,0.3766074238092989,0.3473716053903437,90.23
19,0.37071706497859913,0.3420580735756753,90.33
20,0.36540119421823575,0.33683908704934507,90.54
21,0.3604522658303184,0.3327172249684976,90.54
22,0.3561035536453795,0.3284564398493776,90.7
23,0.3520231263348988,0.3248722721368089,90.81
24,0.34831122975823603,0.3213241026512411,91.01
25,0.3447983949905317,0.31832116092044044,91.04
26,0.3415903742287555,0.3156083313218321,91.05
27,0.33853385063681196,0.31278214602553994,91.22
28,0.3357253949201183,0.3103625690164,91.28
29,0.33299673796986295,0.30796187111263723,91.27
30,0.33058232639201,0.3062209369700368,91.27
31,0.32822883206372966,0.30383004703981364,91.46
32,0.3259999771647151,0.3017403755251115,91.51
33,0.3238549032420124,0.3002157436032627,91.61
34,0.32180151603223084,0.2981598474763025,91.66
35,0.3199310156870931,0.29674370447448417,91.66
36,0.3180276691849704,0.29518875564280683,91.65
37,0.31629659044757125,0.2940354604990283,91.7
38,0.31462337485258074,0.29236713943796433,91.79
39,0.31302905215201315,0.29106378624444834,91.74
